FIPS,State,County
19101,IA,JEFFERSON
19103,IA,JOHNSON
19105,IA,JONES
19107,IA,KEOKUK
19109,IA,KOSSUTH
19111,IA,LEE
19113,IA,LINN
19115,IA,LOUISA
19117,IA,LUCAS
19119,IA,LYON
19121,IA,MADISON
19123,IA,MAHASKA
19125,IA,MARION
19127,IA,MARSHALL
19129,IA,MILLS
19131,IA,MITCHELL
19133,IA,MONONA
19135,IA,MONROE
19137,IA,MONTGOMERY
19139,IA,MUSCATINE
19141,IA,O BRIEN
19143,IA,OSCEOLA
19145,IA,PAGE
19147,IA,PALO ALTO
19149,IA,PLYMOUTH
19151,IA,POCAHONTAS
19153,IA,POLK
19155,IA,POTTAWATTAMIE
19157,IA,POWESHIEK
19159,IA,RINGGOLD
19161,IA,SAC
19163,IA,SCOTT
19165,IA,SHELBY
19167,IA,SIOUX
19169,IA,STORY
19171,IA,TAMA
19173,IA,TAYLOR
19175,IA,UNION
19177,IA,VAN BUREN
19179,IA,WAPELLO
19181,IA,WARREN
19183,IA,WASHINGTON
19187,IA,WEBSTER
19189,IA,WINNEBAGO
19191,IA,WINNESHIEK
19193,IA,WOODBURY
19195,IA,WORTH
19197,IA,WRIGHT
22001,LA,ACADIA
22007,LA,ASSUMPTION
22009,LA,AVOYELLES
22017,LA,CADDO
22025,LA,CATAHOULA
22029,LA,CONCORDIA
22035,LA,EAST CARROLL
22039,LA,EVANGELINE
22041,LA,FRANKLIN
22043,LA,GRANT
22045,LA,IBERIA
22053,LA,JEFFERSON DAVIS
22065,LA,MADISON
22067,LA,MOREHOUSE
22069,LA,NATCHITOCHES
22073,LA,OUACHITA
22077,LA,POINTE COUPEE
22079,LA,RAPIDES
22083,LA,RICHLAND
22097,LA,SAINT LANDRY
22099,LA,SAINT MARTIN
22101,LA,SAINT MARY
22107,LA,TENSAS
22113,LA,VERMILION
22117,LA,WASHINGTON
22121,LA,WEST BATON ROUGE
22123,LA,WEST CARROLL
28007,MS,ATTALA
28009,MS,BENTON
28011,MS,BOLIVAR
28013,MS,CALHOUN
28015,MS,CARROLL
28017,MS,CHICKASAW
28021,MS,CLAIBORNE
28027,MS,COAHOMA
28033,MS,DE SOTO
28039,MS,GEORGE
28049,MS,HINDS
28051,MS,HOLMES
28053,MS,HUMPHREYS
28055,MS,ISSAQUENA
28057,MS,ITAWAMBA
28071,MS,LAFAYETTE
28081,MS,LEE
28083,MS,LEFLORE
28087,MS,LOWNDES
28089,MS,MADISON
28095,MS,MONROE
28097,MS,MONTGOMERY
28103,MS,NOXUBEE
28115,MS,PONTOTOC
28117,MS,PRENTISS
28119,MS,QUITMAN
28121,MS,RANKIN
28125,MS,SHARKEY
28133,MS,SUNFLOWER
28135,MS,TALLAHATCHIE
28139,MS,TIPPAH
28143,MS,TUNICA
28145,MS,UNION
28149,MS,WARREN
28151,MS,WASHINGTON
28155,MS,WEBSTER
28163,MS,YAZOO
